sample,N,C,H,S
std (orchard leaf),1.9125,51.0235,7.142,0.113
QL126,2.4327,51.2239,7.384,0.148
RH115,1.0117,51.5627,7.414,0.22
QL439,0.47,50.1903,7.503,0.109
QL395,2.0023,56.8684,7.867,0.09
T201,0.9453,53.7053,7.34,0.079
QL252,0.9444,54.7486,8.229,0.052
QL079,2.386,53.5519,7.829,0.097
T385,2.4237,53.9668,8.028,0.109
T100,0.5887,52.7403,7.979,0.051
T034,0.5383,54.483,8.007,0.049
KG012,0.6006,57.3919,8.551,0.043
T267,0.9416,53.691,7.812,0.066
T193,0.7495,54.4471,7.486,0.055
KG043,2.637,54.5942,7.891,0.1
T116,0.4443,55.3796,8.541,0.045
QL341,0.7919,50.171,7.208,0.056
QL355,0.83,52.2883,7.897,0.06
QL211,1.3909,57.4071,8.342,0.038
T394,2.055,53.3124,7.842,0.073
std (orchard leaf),1.9019,51.1153,7.454,0.065
QL423,1.5439,52.4833,7.852,0.063
T033,0.6292,55.2039,8.059,0.043
RH090,1.731,53.2798,8.414,0.119
QL050,2.6456,52.9914,7.898,0.222
QL099,0.8546,52.3289,7.897,0.054
QL260,2.1496,53.9657,7.48,0.074
KG070,1.2966,60.8286,8.994,0.053
QL460,0.5487,53.0195,8.078,0.066
QL362,0.7484,51.1395,7.691,0.211
T198,0.5915,52.9001,7.363,0.054
QL458,0.633,52.7966,7.836,0.057
KG042,2.2568,55.5178,8.066,0.083
T283,0.5217,51.9938,7.814,0.063
T233,1.0351,51.3854,7.841,0.051
RH086,1.5697,50.4757,8.036,0.117
T046,0.403,54.9998,8.245,0.049
QL394,1.6593,57.0404,8.083,0.068
T091,0.6478,53.2331,8.253,0.042
YG158,2.9057,54.0364,8.355,0.198
YG161,2.0434,56.8616,8.035,0.089
std (orchard leaf),1.9118,51.1315,7.528,0.071
QL392,1.6398,56.5017,8.053,0.068
YG140,2.2929,52.8408,7.992,0.082
QL343,0.8059,49.021,6.945,0.059
YG093,2.734,56.2614,8.105,0.075
QL366,0.7129,52.9044,8.099,0.244
QL030,1.7431,53.8907,7.834,0.154
T311,0.3172,52.5739,8.101,0.071
KG066,0.7042,59.9499,9.039,0.06
QL180,0.5151,52.6255,7.8,0.054
YG090,3.3193,52.113,8.02,0.207
QL066,1.2107,53.3096,8.04,0.093
YG116,2.3187,54.8038,8.216,0.102
KG086,0.9979,52.1492,7.701,0.067
KG046,1.9865,59.5007,8.65,0.077
QL297,0.9287,51.0201,7.346,0.07
QL042,1.3156,48.9142,7.487,0.092
KG110,0.9322,52.6409,7.757,0.083
QL038,1.2286,50.0887,7.598,0.076
QL463,0.7987,54.4594,8.371,0.194
QL434,0.5538,50.9975,7.66,0.068
std (orchard leaf),1.8888,50.9895,7.538,0.072
KG031,1.8038,54.4131,8.105,0.093
T352,0.5875,55.7244,8.329,0.035
QL102,0.9711,52.3375,8.005,0.058
T103,0.4838,56.4064,8.561,0.042
RH093,1.0113,50.699,8.057,0.093
T111,0.6113,54.7572,7.992,0.04
T274,0.399,51.8647,7.884,0.049
T290,1.6719,54.4042,8.41,0.062
YG059,1.1419,58.3209,9.238,0.063
QL264,2.122,54.0214,6.587,0.097
QL426,1.5903,52.4636,6.782,0.09
QL243,0.8401,51.7002,6.373,0.071
QL237,0.9949,52.6702,6.26,0.075
YG078,0.3775,55.2267,6.717,0.048
YG136,0.9726,57.4383,7.256,0.064
QL318,1.0708,53.9934,6.819,0.054
QL321,1.1501,53.9028,6.827,0.07
YG117,3.4007,52.9255,7.317,0.104
QL215,1.2176,54.8119,7.249,0.068
YG137,1.0635,57.7176,7.468,0.064
std (orchard leaf),1.805,50.4832,6.677,0.08
T238,0.7725,51.3332,7.087,0.057
