sample,N,C,H,S
QL037,0.5143,48.5437,6.358,0.023
QL039,1.3121,47.5125,6.421,0.054
QL040,1.1492,46.7127,5.721,0.073
QL041,0.4267,46.5514,6.206,0.045
QL043,0.9601,45.6534,5.519,0.062
QL044,0.9632,49.4419,5.866,0.055
QL045,0.4044,49.6191,6.433,0.027
QL046,2.2932,53.4228,7.036,0.159
QL047,2.0112,53.4405,7.085,0.071
QL048,1.9365,53.2875,7.011,0.067
QL051,2.2751,51.7432,6.914,0.092
QL052,2.098,53.0265,6.916,0.085
QL053,1.0721,55.119,6.543,0.134
QL055,1.9909,52.3548,6.718,0.216
QL056,2.1509,53.6021,6.379,0.16
QL057,1.4238,54.2305,6.945,0.066
QL059,1.6109,51.1265,5.887,0.159
QL060,1.1649,51.2444,5.847,0.105
QL061,0.8726,52.9276,6.544,0.033
QL062,1.2251,51.9214,6.816,0.089
QL063,1.4864,52.381,6.883,0.075
QL064,1.143,53.3189,6.847,0.052
QL065,0.7644,53.5768,6.144,0.116
QL067,1.0249,49.3872,5.913,0.077
QL068,0.8919,50.8393,6.812,0.03
QL069,0.5129,52.7641,6.133,0.058
QL071,2.8286,51.2179,5.986,0.143
QL072,2.2859,53.3817,6.971,0.05
QL073,1.3835,54.6112,6.994,0.039
QL075,2.5771,51.6092,5.962,0.114
QL076,2.0532,52.9717,6.032,0.155
QL077,1.0637,53.8027,6.873,0.047
QL080,2.3111,52.1026,6.11,0.124
QL081,1.2771,54.8743,6.242,0.086
QL082,0.7963,50.1465,6.194,0.013
QL083,0.9423,50.0642,5.953,0.072
QL084,0.9705,51.9319,6.258,0.06
QL085,0.4049,53.6057,6.24,0.037
QL087,0.6325,56.2049,6.901,0.02
QL088,0.6165,51.4757,6.315,0.036
QL089,0.3039,57.3586,7.94,0.018
QL090,0.9356,48.9199,6.161,0.046
QL091,0.9432,49.3131,6.115,0.049
QL092,0.885,52.0131,6.353,0.124
QL093,0.4874,57.2882,7.986,0.025
QL095,0.8013,49.4324,5.949,0.041
QL096,0.6414,49.6161,5.91,0.033
QL097,0.2598,53.1882,7.255,0.013
QL098,0.931,49.008,6.654,0.043
QL100,0.6132,50.7601,6.721,0.048
QL101,0.4724,49.9119,5.867,0.081
QL104,0.5412,49.9374,5.917,0.048
QL105,0.3545,49.5696,6.496,0.031
QL119,1.9335,51.8675,5.821,0.097
QL120,1.5152,53.3405,6.067,0.079
QL121,1.126,54.9072,6.924,0.05
QL123,1.9563,51.266,5.775,0.129
QL124,1.638,54.0642,6.745,0.036
QL125,1.0572,53.0165,5.75,0.088
QL127,1.9465,52.1689,5.881,0.118
QL128,1.9604,51.5179,5.839,0.11
QL129,1.1803,53.4116,5.937,0.098
QL147,0.9364,50.8512,6.277,0.071
QL158,0.9742,51.0003,6.703,0.067
QL159,0.9671,50.4133,6.635,0.066
QL160,1.1683,51.3238,6.798,0.084
QL161,1.0818,51.4356,6.629,0.105
QL162,0.9052,51.228,6.72,0.076
QL163,1.2133,50.7517,6.477,0.037
QL164,1.2159,52.2018,6.779,0.077
QL165,0.735,50.8787,6.702,0.067
QL166,0.8158,49.5901,5.882,0.054
QL168,0.4435,50.3803,5.825,0.049
QL169,0.2871,51.4057,5.791,0.064
QL177,0.6168,49.7334,5.902,0.032
QL178,0.5852,50.4718,5.873,0.061
QL179,0.3187,51.4749,5.907,0.037
QL181,0.476,49.9485,5.926,0.034
QL182,0.4213,49.6482,5.815,0.088
QL183,0.1785,50.8451,5.929,0.048
QL188,2.0469,50.0554,6.151,0.306
QL189,1.3608,50.9128,6.209,0.242
QL190,1.1052,54.7559,6.557,0.153
QL191,1.7873,52.8228,7.109,0.057
QL192,1.3196,54.0608,7.255,0.042
QL193,1.6522,52.5336,6.325,0.127
QL194,0.8464,54.2799,6.349,0.069
QL196,1.7489,52.8639,7.025,0.185
QL197,1.7316,51.8766,6.964,0.061
QL198,0.9367,54.5559,6.323,0.068
QL199,0.6144,56.3635,7.773,0.051
QL200,0.8456,51.3608,6.853,0.051
QL202,0.7601,59.642,8.403,0.043
QL205,0.7121,52.3358,7.141,0.052
QL206,0.6191,52.1344,7.013,0.038
QL208,1.4256,50.6736,5.757,0.102
QL209,1.2941,51.6572,6.038,0.073
QL210,1.2224,51.3455,5.88,0.062
QL212,1.2569,52.7787,6.941,0.033
QL213,1.1866,52.9045,7.015,0.025
QL216,1.1263,52.5217,6.711,0.021
QL217,0.6593,52.5961,6.146,0.043
QL218,0.6941,53.915,6.385,0.054
QL219,0.629,50.9804,6.012,0.057
QL244,1.1188,53.6069,7.095,0.176
QL245,1.0826,52.3162,6.356,0.07
QL246,0.7119,51.7431,6.269,0.087
QL247,0.6419,50.9783,6.757,0.029
QL249,0.9257,51.7935,6.37,0.039
QL250,0.6896,52.822,7.119,0.02
QL251,0.3466,53.9459,7.199,0.025
QL253,0.8695,52.1244,6.24,0.048
QL254,0.579,51.4075,6.189,0.056
QL255,0.2811,53.4647,7.284,0.023
QL256,1.903,50.5021,5.605,0.128
QL257,2.2674,51.1829,6.625,0.049
QL258,1.8598,50.876,5.878,0.099
QL259,1.0789,51.8089,5.842,0.061
QL261,2.1163,53.0395,6.734,0.046
QL262,2.1264,51.9843,6.7,0.056
QL263,0.9412,53.6202,6.574,0.032
QL265,2.3081,51.6873,5.824,0.094
QL266,1.6794,52.4585,6.559,0.042
QL267,1.1658,53.498,6.61,0.023
QL268,0.396,49.726,5.645,0.065
QL269,0.4867,49.2143,5.67,0.104
QL270,0.3394,48.9198,5.583,0.039
QL272,0.7228,50.1759,5.762,0.036
QL273,0.6826,48.694,5.651,0.043
QL274,0.951,49.5554,6.212,0.191
QL275,0.9236,49.0022,5.633,0.038
QL276,0.8218,49.331,5.578,0.06
QL277,0.8011,48.8728,5.729,0.027
QL278,0.8097,48.5597,5.676,0.054
QL279,0.7508,48.7046,5.755,0.06
QL280,0.9002,50.4429,6.604,0.034
QL281,0.5173,50.405,6.555,0.034
QL282,0.6166,50.3769,6.59,0.044
QL283,0.609,49.8086,6.549,0.04
QL284,0.7387,49.6648,6.604,0.033
QL285,0.7416,49.804,6.578,0.052
QL286,0.8671,51.331,6.646,0.052
QL287,0.7082,51.46,6.723,0.045
QL289,0.8408,49.4252,5.54,0.062
QL290,0.7456,49.6657,5.605,0.053
QL291,0.737,50.5029,6.386,0.044
QL292,0.2881,49.2732,6.235,0.019
QL293,0.84,49.8197,6.38,0.027
QL294,0.6789,50.6329,6.461,0.026
QL295,0.5282,48.8045,5.616,0.063
QL296,0.2864,49.4944,5.634,0.029
QL298,0.6703,49.3675,5.64,0.041
QL299,0.569,49.5663,5.709,0.053
QL300,0.3984,48.047,5.47,0.037
QL334,0.3067,47.2581,5.881,0.026
QL335,0.2676,47.6679,5.359,0.037
QL336,0.305,46.0101,5.284,0.084
QL337,1.0565,46.7803,5.991,0.179
QL338,0.9151,48.1288,5.52,0.066
QL339,0.6355,46.6027,5.341,0.046
QL340,0.989,47.3269,6.1,0.114
QL342,0.7454,48.4693,5.472,0.059
QL344,0.9488,47.6861,5.778,0.188
QL345,1.0008,47.6734,5.863,0.042
QL346,0.5713,50.7369,6.208,0.057
QL347,0.6272,49.6428,6.016,0.062
QL348,0.4502,51.5275,6.36,0.062
QL349,0.3478,50.9507,6.844,0.021
QL350,0.6732,49.7111,5.922,0.104
QL351,0.5959,50.0353,5.949,0.087
QL352,0.5409,49.8273,5.812,0.118
QL353,0.3398,50.8473,5.957,0.088
QL354,0.7727,48.8641,5.925,0.057
QL356,0.6324,49.7646,6.756,0.032
QL357,0.4112,49.2905,5.751,0.051
QL358,0.67,49.1248,5.919,0.188
QL359,0.7186,49.5613,6.053,0.211
QL360,0.7706,49.5805,6.08,0.214
QL361,0.4889,51.4044,6.768,0.077
QL363,0.8404,51.0387,6.851,0.106
QL364,0.735,49.9418,6.78,0.09
QL365,0.4412,50.4464,6.693,0.065
QL367,0.6623,50.4128,6.658,0.107
QL368,0.7944,50.3862,6.817,0.094
QL369,0.5091,50.994,6.888,0.095
QL371,1.1828,51.824,6.085,0.101
QL373,1.1419,52.2673,6.808,0.068
QL375,1.0525,50.4896,6.04,0.092
QL376,1.3088,50.9466,5.913,0.106
QL377,0.9265,56.7971,6.813,0.103
QL378,1.275,51.8067,6.108,0.087
QL380,1.2819,53.5219,6.804,0.038
QL381,0.6624,52.0951,6.624,0.022
QL382,0.9963,54.1546,6.193,0.058
QL383,0.8961,54.5402,6.201,0.055
QL384,1.2777,54.0922,6.194,0.06
QL388,1.8442,54.1426,6.236,0.111
QL389,2.0036,54.5875,7.126,0.077
QL390,1.8205,53.9255,6.157,0.089
QL391,1.7769,54.4258,6.977,0.083
QL393,1.5309,53.8498,6.99,0.043
QL396,1.8189,54.2612,6.982,0.044
QL418,1.3049,50.5819,5.921,0.117
QL419,1.4092,50.761,6.786,0.048
QL420,1.3046,50.1825,5.951,0.081
QL421,0.7613,49.9335,5.861,0.042
QL425,0.7329,52.0557,6.899,0.026
QL427,1.3061,50.0077,5.837,0.068
QL428,1.2453,49.6573,5.806,0.07
QL429,0.8801,50.9615,6.616,0.06
QL430,0.5497,51.7325,6.756,0.104
QL431,0.5415,49.4179,5.801,0.128
QL432,0.4545,50.5102,6.681,0.041
QL435,0.5215,48.2767,5.793,0.05
QL437,0.3412,48.6671,6.359,0.08
QL438,0.5706,48.7862,5.791,0.095
QL440,0.3464,48.2915,6.366,0.109
QL442,0.4115,49.2338,5.746,0.061
QL443,0.2476,49.8393,5.73,0.051
QL444,0.3207,49.4182,5.733,0.069
QL457,0.6316,51.5112,6.136,0.117
QL459,0.6063,49.3005,5.628,0.152
QL461,0.5585,51.6505,6.893,0.043
QL462,0.5162,49.8028,6.504,0.021
QL464,0.5992,50.4967,5.917,0.048
QL465,0.6222,49.5278,5.778,0.084
RH013,1.7045,53.8264,7.268,0.063
RH014,1.7692,54.574,7.387,0.056
RH015,1.2769,54.8447,7.397,0.044
RH016,1.7916,53.2743,7.266,0.051
RH017,1.8988,52.4641,6.849,0.07
RH018,1.4867,52.6932,7.053,0.049
RH019,1.7532,53.7364,7.155,0.067
RH020,1.5365,53.5274,7.167,0.067
RH021,1.4036,52.5959,6.887,0.102
RH022,0.7133,52.3012,7.057,0.049
RH023,0.7415,52.8658,7.047,0.076
RH024,0.6308,51.4878,6.83,0.063
RH025,0.7986,54.6823,7.511,0.091
RH026,0.7463,53.3358,7.342,0.074
RH027,0.8104,53.4759,7.257,0.056
RH028,0.8398,52.6188,6.992,0.18
RH029,0.6934,52.9023,7.152,0.136
RH030,0.6385,51.4864,6.878,0.068
RH031,1.9906,52.1949,6.97,0.103
RH032,1.5507,52.0785,6.893,0.093
RH033,0.9199,50.3869,6.77,0.085
RH034,1.7842,50.9262,6.508,0.087
RH036,1.398,49.3084,6.516,0.109
RH037,1.7554,49.8235,6.744,0.089
RH038,2.1477,49.4202,6.683,0.159
RH039,1.1932,50.9636,6.91,0.095
RH040,1.4075,52.1747,6.939,0.083
RH041,1.615,51.6975,6.881,0.116
RH042,0.2626,51.5104,6.912,0.019
RH044,0.4945,51.6924,7.084,0.067
RH045,0.531,49.3784,5.966,0.042
RH046,0.419,50.7066,5.992,0.055
RH048,0.5617,50.1477,6.108,0.054
RH049,0.6242,54.0481,6.886,0.054
RH050,0.4606,51.4957,6.788,0.027
RH051,0.6251,49.7727,6.064,0.048
RH052,0.6726,50.5359,6.184,0.046
RH053,0.6098,50.7918,6.865,0.028
RH066,0.843,50.595,6.752,0.056
RH067,0.9002,50.2516,6.745,0.062
RH068,0.8758,50.3196,6.659,0.063
RH069,0.7462,50.9772,6.869,0.055
RH070,0.7264,50.7944,6.738,0.069
RH071,0.9469,50.5442,6.723,0.074
RH072,0.6116,49.0327,6.643,0.04
RH073,0.6725,49.6118,6.618,0.076
RH074,0.563,49.6017,6.65,0.067
RH075,0.5904,53.6757,7.507,0.093
RH076,0.4383,53.2651,7.244,0.158
RH077,0.527,53.8377,7.211,0.115
RH078,0.5894,52.8999,7.274,0.09
RH079,0.6299,52.6727,7.283,0.114
RH080,0.653,52.6656,7.339,0.319
RH081,0.6479,53.4559,7.474,0.124
RH082,0.5445,54.6305,7.63,0.171
RH083,0.5526,54.8487,7.519,0.108
RH084,1.1987,50.3603,6.916,0.099
RH085,1.8561,47.7046,5.925,0.217
RH087,1.7129,48.4067,6.004,0.252
RH088,0.6408,50.8601,6.965,0.084
RH089,2.0179,49.9635,6.876,0.097
RH092,0.6389,49.5155,6.697,0.058
RH095,0.7051,49.5651,6.774,0.03
RH105,0.5632,49.4713,5.862,0.41
RH107,0.8715,49.3256,5.952,0.177
RH108,0.7187,51.0535,6.134,0.16
RH109,0.344,50.9501,6.07,0.045
RH112,0.7431,51.4004,6.859,0.049
RH113,0.4427,49.6502,5.995,0.312
RH114,1.025,49.3368,5.896,0.121
RH116,0.8624,50.2573,6.105,0.264
T002,0.3887,53.7041,7.243,0.18
T003,0.4307,52.8957,7.097,0.087
T004,0.2167,54.9357,7.557,0.011
T007,0.4751,53.6689,7.081,0.126
T009,0.5825,52.4433,6.949,0.175
T011,0.3391,52.3337,6.954,0.015
T012,0.1484,51.4219,6.314,0.017
T025,0.5394,52.4635,6.22,0.023
T026,0.401,51.1584,6.151,0.016
T027,0.3425,51.431,5.994,0.049
T028,0.2078,53.2126,6.869,0.013
T029,0.5281,53.0705,6.283,0.038
T030,0.4153,52.8502,6.883,0.022
T031,0.288,51.2689,6.786,0.012
T032,0.1925,52.1881,6.78,0.014
T035,0.4058,51.4305,6.106,0.056
T036,0.2233,51.8844,5.961,0.076
T038,0.5916,51.6288,6.163,0.046
T039,0.5019,51.1144,6.09,0.054
T040,0.1513,50.1172,6.664,0.011
T041,0.671,53.1508,6.553,0.034
T042,0.4805,52.3801,6.232,0.028
T043,0.4634,51.9371,7.02,0.017
T047,0.381,50.542,6.078,0.035
T048,0.2053,51.5145,6.927,0.016
T061,3.2085,53.0021,6.893,0.077
T062,2.9118,53.2516,7.06,0.093
T063,2.7243,53.9562,7.102,0.071
T064,3.7476,51.8545,6.487,0.088
T065,2.9681,53.0787,6.869,0.112
T066,2.9718,54.3609,6.834,0.036
T067,3.0648,55.8451,7.112,0.041
T068,3.0613,55.4765,7.008,0.033
T069,2.7981,55.33,6.98,0.041
T070,0.4322,49.6933,5.918,0.016
T071,0.5237,49.6079,5.897,0.043
T072,0.5493,50.8133,5.86,0.05
T073,0.2919,51.6211,6.564,0.026
T075,0.4058,50.2182,5.852,0.025
T076,0.5869,54.1244,6.499,0.05
T077,0.2155,50.5768,5.846,0.026
T078,0.8033,50.8828,6.695,0.045
T080,0.7758,50.9859,5.768,0.147
T081,0.3603,51.5614,6.008,0.045
T082,2.0581,56.1375,7.171,0.04
T083,1.88,57.8013,7.627,0.083
T084,1.5067,57.6301,7.385,0.036
T085,2.0345,54.3208,6.894,0.031
T086,1.5106,55.7836,7.044,0.034
T087,1.3617,56.0095,7.09,0.033
T088,2.4016,54.7067,7.191,0.104
T089,2.122,55.6148,7.133,0.069
T090,1.7577,57.2757,7.388,0.034
T092,0.4891,49.8634,6.178,0.033
T093,0.5686,49.9145,6.192,0.042
T094,0.2041,52.1523,7.11,0.034
T097,0.5974,50.3437,6.109,0.03
T098,0.2208,55.2654,7.508,0.031
T099,0.7284,50.4685,6.21,0.045
T101,0.6441,52.6162,6.553,0.055
T102,0.3776,53.1596,6.997,0.023
T104,0.4534,53.2216,6.838,0.092
T105,0.3729,52.3028,6.211,0.094
T106,0.2373,51.0304,5.872,0.037
T107,0.6831,53.2215,6.813,0.08
T108,0.5631,53.6986,6.947,0.086
T109,0.4454,53.0423,6.902,0.015
T110,0.3016,52.2185,6.784,0.023
T112,0.4722,51.0179,6.035,0.06
T113,0.3758,52.2125,5.948,0.063
T114,0.2789,52.3797,6.078,0.054
T115,0.4918,50.9594,6.272,0.036
T117,0.328,50.2328,6.848,0.026
T118,0.2388,49.2212,6.765,0.014
T119,0.4684,51.2233,6.33,0.043
T120,0.4341,49.2513,6.11,0.042
T121,0.4601,49.3107,6.099,0.056
T122,0.2926,48.5327,5.985,0.05
T123,0.5262,50.954,6.954,0.03
T124,0.5157,51.5543,6.977,0.025
T125,0.5491,50.1551,6.833,0.03
T126,0.2803,49.813,6.796,0.02
T127,1.7888,51.2747,6.939,0.064
T128,1.8913,52.2643,7.011,0.092
T129,1.8446,52.705,7.026,0.072
T130,1.4176,51.2132,6.855,0.046
T131,1.4813,51.1033,6.854,0.073
T132,1.3478,52.7362,7.095,0.061
T133,2.2407,51.2133,6.855,0.072
T134,1.6955,51.297,6.901,0.056
T135,1.5306,51.2693,6.759,0.065
T136,1.9464,54.1866,7.163,0.084
T137,1.827,56.8178,7.226,0.059
T138,1.4615,57.3237,7.201,0.036
T139,2.1793,54.5139,7.096,0.087
T140,1.4777,53.1973,6.864,0.059
T141,1.3841,53.0663,6.796,0.08
T142,1.9742,53.8488,6.96,0.071
T143,1.6001,54.5877,7.105,0.061
T144,1.4819,54.8516,7.094,0.094
T171,0.4384,51.9476,7.074,0.017
T172,0.1422,50.0633,6.007,0.029
T174,0.6308,50.9528,6.773,0.089
T175,0.3291,51.0724,6.27,0.066
T176,0.1356,50.1915,6.147,0.025
T179,0.4383,49.5422,5.868,0.15
T180,0.2511,49.6179,5.931,0.039
T183,0.3541,55.2679,6.125,0.042
T184,0.1785,56.8055,6.36,0.025
T186,0.3615,58.2507,7.409,0.052
T187,0.3086,57.4026,6.607,0.035
T188,0.1576,55.5181,6.234,0.028
T190,0.245,55.9384,6.394,0.025
T191,0.2385,57.0762,6.558,0.028
T192,0.1824,54.2798,5.842,0.038
T194,0.6109,50.9684,5.659,0.031
T195,0.4078,50.6271,5.647,0.02
T196,0.1751,52.7832,6.458,0.01
T197,0.7049,51.0166,5.641,0.072
T199,0.3543,51.4956,6.361,0.017
T200,0.1889,51.3443,5.602,0.035
T203,0.4434,51.9979,5.721,0.057
T204,0.1905,52.122,5.822,0.044
T205,0.5158,50.1382,6.083,0.037
T206,0.5129,50.3177,6.1,0.03
T207,0.4328,53.0607,7.241,0.022
T210,0.4192,51.6006,6.736,0.098
T211,0.3951,50.773,6.904,0.02
T212,0.3281,54.4262,6.634,0.074
T213,0.5052,51.9998,7.097,0.056
T214,0.3557,52.9968,7.036,0.031
T215,0.7343,51.563,6.821,0.068
T229,0.5759,48.987,6.465,0.187
T230,0.5787,49.268,5.852,0.052
T231,0.5708,49.9241,6.592,0.017
T232,0.2602,50.4635,6.728,0.026
T234,0.878,50.2837,6.663,0.049
T235,0.7438,49.2401,5.916,0.105
T253,2.4332,55.9407,7.215,0.045
T254,1.8711,56.4397,7.054,0.038
T255,1.666,53.9656,6.852,0.062
T256,1.9684,55.2155,7.039,0.065
T257,2.0066,55.271,7.159,0.067
T259,2.4616,53.9749,7.178,0.08
T260,2.1466,54.2281,7.045,0.095
T261,1.6846,52.9189,6.947,0.088
T262,0.912,50.4754,5.785,0.076
T263,0.8619,50.2057,5.678,0.038
T264,0.5676,51.2436,6.344,0.036
T265,0.3604,52.6382,6.345,0.028
T266,0.8983,51.6043,6.09,0.137
T268,0.491,50.2608,6.344,0.043
T269,0.3088,50.0083,5.514,0.065
T270,0.9665,51.4616,6.06,0.067
T271,0.9222,50.5404,5.775,0.045
T272,0.6349,50.329,5.738,0.062
T273,0.3204,51.5394,6.417,0.02
T275,0.5742,49.9519,5.902,0.073
T276,0.6048,50.5155,5.956,0.059
T277,0.2854,51.0632,6.504,0.028
T278,0.609,49.4939,5.84,0.071
T279,0.3073,49.8626,5.941,0.042
T280,0.4437,50.7085,6.639,0.024
T281,0.6435,49.9518,5.802,0.067
T284,0.6529,49.4615,5.781,0.109
T285,0.2001,50.9516,6.569,0.026
T286,1.798,53.8621,7.526,0.054
T287,1.8957,54.4432,7.389,0.039
T288,1.6084,53.2575,7.081,0.065
T289,1.3099,53.5861,6.347,0.109
T291,1.7474,51.993,6.162,0.094
T292,1.7525,53.2277,6.469,0.076
T293,1.4561,52.7579,6.296,0.063
T294,1.8724,50.4129,6.125,0.096
T295,1.4144,50.9711,6.804,0.197
T296,1.9323,53.5679,6.44,0.09
T297,1.3355,54.275,6.502,0.073
T298,1.7178,53.8302,6.683,0.057
T299,1.4904,54.9185,7.035,0.057
T300,1.2639,53.3427,6.684,0.045
T301,1.7122,54.6065,6.683,0.056
T302,1.5678,56.1506,7.056,0.047
T303,1.358,56.1361,7.074,0.038
T304,1.571,52.0448,6.302,0.055
T305,1.4792,54.2325,6.674,0.05
T306,1.4004,52.7058,6.451,0.052
T307,0.4376,49.8967,6.035,0.064
T308,0.5985,54.357,7.419,0.042
T313,0.2784,49.1693,6.436,0.185
T343,3.2521,53.8205,6.766,0.038
T344,2.6138,54.878,6.954,0.066
T345,1.7566,56.4636,6.908,0.051
T346,2.864,54.9807,6.662,0.064
T347,2.1133,55.9257,6.986,0.055
T348,1.9723,55.5704,6.826,0.053
T349,3.3241,54.2772,6.733,0.084
T350,2.528,55.7502,7.105,0.073
T351,2.4388,56.8247,7.009,0.05
T354,0.4594,51.1851,6.237,0.083
T355,0.3255,51.6427,6.123,0.068
T356,0.3711,58.1359,7.544,0.058
T357,0.4659,54.1929,7.004,0.065
T358,0.4567,53.5581,7,0.056
T359,0.3936,58.5292,7.598,0.065
T360,0.4897,55.7419,7.209,0.069
T361,0.3205,56.0855,7.315,0.061
T363,1.096,55.0567,7.404,0.212
T364,0.8799,56.7172,7.296,0.1
T365,0.9269,51.8825,6.266,0.149
T366,1.3443,57.4504,7.653,0.039
T367,1.2142,57.7103,7.836,0.069
T368,0.8155,57.2996,7.684,0.036
T369,1.4276,54.7165,7.588,0.209
T370,1.0064,56.4696,7.578,0.091
T371,0.9472,58.1336,7.793,0.037
T384,2.6645,50.8999,6.976,0.07
T386,2.2456,51.7301,6.17,0.135
T387,1.558,53.3171,6.802,0.048
T389,2.3017,50.9137,6.1,0.112
T391,2.0822,52.3946,6.271,0.116
T392,1.5323,55.0561,7.226,0.053
T393,1.9959,49.9176,6.128,0.125
T395,2.162,51.9348,6.908,0.039
T396,1.1385,52.1518,5.917,0.086
YG001,0.5131,52.2045,6.706,0.033
YG003,0.9791,52.1833,6.745,0.051
YG004,0.6553,52.9342,7.082,0.042
YG005,0.372,51.5814,6.832,0.039
YG009,4.156,54.9624,6.941,0.1
YG010,3.4491,54.5917,6.731,0.096
YG011,2.8992,54.8299,6.814,0.083
YG012,0.8186,53.4887,6.859,0.05
YG014,1.5799,52.1609,6.82,0.097
YG015,1.1368,53.8478,7.232,0.062
YG024,1.4318,47.828,6.374,0.177
YG025,2.0967,48.5696,6.423,0.069
YG026,2.9556,49.2836,6.408,0.132
YG027,2.3382,49.3424,6.189,0.129
YG028,0.5281,56.892,6.989,0.061
YG029,1.1958,53.7938,6.853,0.066
YG032,2.5788,54.1885,7.282,0.103
YG033,2.5236,53.6395,7.155,0.09
YG036,1.118,53.2653,6.037,0.091
YG041,1.6987,54.3543,6.643,0.039
YG046,0.3456,50.1815,6.846,0.057
YG047,0.4182,52.251,6.818,0.034
YG048,1.2413,52.725,7.014,0.099
YG049,0.5398,51.3552,6.634,0.1
YG050,1.2657,47.2101,6.336,0.183
YG052,1.9205,48.8707,6.497,0.142
YG053,1.9512,49.7037,6.297,0.12
YG058,0.4321,55.2377,6.651,0.046
YG060,1.0846,50.6545,6.043,0.045
YG061,1.0968,54.5628,7.401,0.032
YG065,0.3672,57.6437,7.098,0.044
YG066,0.6301,54.65,7.298,0.022
YG068,1.0969,53.6787,7.123,0.049
YG087,1.3474,52.6471,6.176,0.073
YG088,2.2237,51.598,6.68,0.057
YG091,1.4563,55.6644,6.578,0.073
YG092,2.3271,53.6823,6.054,0.105
YG094,2.2266,52.2315,5.777,0.11
YG095,1.2488,51.7068,5.781,0.069
YG096,1.9459,51.7933,5.908,0.095
YG097,1.9172,52.1861,5.893,0.1
YG098,2.4371,50.8778,6.766,0.066
YG102,1.2512,50.3228,5.906,0.101
YG103,2.3052,50.8742,5.993,0.129
YG104,2.0964,50.0273,5.926,0.096
YG105,2.9442,51.7724,6.256,0.245
YG106,1.6364,53.5381,6.443,0.045
YG107,2.5056,53.0176,5.904,0.148
YG108,2.777,54.3991,7.039,0.05
YG109,2.0971,52.0985,5.918,0.096
YG110,0.4088,53.0866,7.004,0.015
YG111,0.5803,56.6886,7.75,0.05
YG112,0.5729,53.7227,7.1,0.092
YG113,0.7189,51.4153,6.219,0.031
YG114,1.2647,52.8123,6.659,0.037
YG115,1.6015,51.8348,6.864,0.069
YG130,0.6004,50.9697,6.567,0.018
YG131,0.9135,51.5235,6.389,0.016
YG133,0.9345,52.9196,6.451,0.039
YG138,1.5265,51.2987,5.971,0.087
YG139,2.3902,51.061,6.756,0.062
YG141,2.4122,51.2805,6.321,0.194
YG142,1.1532,57.862,6.724,0.071
YG143,2.1979,54.6533,6.954,0.046
YG144,1.3172,53.1214,5.821,0.074
YG146,2.3255,53.3873,6.578,0.07
YG147,2.6097,53.3778,6.738,0.054
YG148,1.1621,54.0291,6.794,0.032
YG149,1.7177,51.629,6.872,0.048
YG150,2.7033,51.1083,6.955,0.061
YG151,2.6048,51.0529,6.888,0.054
YG156,2.227,50.7149,5.927,0.124
YG159,1.3755,55.1427,6.261,0.07
YG160,1.8791,53.836,6.694,0.043
YG162,2.2575,53.5839,6.072,0.132
YG163,0.6143,56.3489,6.576,0.047
YG164,0.8887,55.25,7.153,0.023
YG165,0.945,52.858,6.053,0.073
YG166,0.8305,53.0568,6.474,0.043
YG171,0.5734,54.1477,6.191,0.049
YG172,0.697,53.378,6.328,0.08
YG173,0.5679,55.0498,6.578,0.05
YG174,0.5894,55.0228,6.874,0.031
YG178,0.4727,54.8049,7.155,0.031
YG179,0.7268,54.8393,6.548,0.043
YG180,0.7739,53.0566,6.243,0.066
YG181,0.8858,53.2527,7.207,0.033
YG189,0.3893,58.6516,7.9,0.026
YG190,0.726,53.915,6.299,0.046
YG192,0.9332,52.8644,6.866,0.205
YG194,0.388,57.8905,7.014,0.03
YG195,0.7277,53.623,6.352,0.048
YG197,0.6186,53.6697,6.611,0.047
YG205,0.3228,56.7856,7.557,0.016
YG206,1.0905,54.2438,7.225,0.031
YG208,0.6929,54.217,6.576,0.051
YG209,0.5086,51.0053,6.691,0.045
